wmape_3m,wmape_14d,wmape_all,hours,metric,threshold,alpha,applied,delta_3m,delta_14d
7.03211762527705,12.855803024120826,7.085033085101718,all,absdiff_le,150.0,0.15,439,-0.006795838823243194,0.0034889401159414746
7.032131669090089,12.84439687964033,7.085046952735478,all,ratio_le,0.02,0.3,283,-0.006781795010204483,-0.007917204364554564
7.032147619052187,12.801252246142944,7.084711723655221,peakerr,absdiff_le,500.0,-0.1,455,-0.006765845048105845,-0.05106183786194052
7.0321607952483225,12.84744626144127,7.085075713506795,peakerr,absdiff_le,50.0,1.0,159,-0.006752668851970789,-0.00486782256361451
7.032238186818704,12.84987740296955,7.08515213420189,all,reldiff_le,0.005,1.0,282,-0.006675277281589231,-0.0024366810353342316
7.032452919702265,12.848319948283276,7.085364173266873,all,ratio_le,0.01,0.7,209,-0.006460544398028567,-0.0039941357216086715
7.032474523374253,12.84164496971463,7.085385505921346,night,reldiff_le,0.01,0.55,125,-0.006438940726040343,-0.010669114290253745
7.032493992805552,12.860520034516117,7.085404731109124,all,absdiff_le,200.0,0.2,496,-0.006419471294741186,0.00820595051123263
7.032583073588327,12.848054970599144,7.085492694375738,all,absdiff_le,50.0,0.4,277,-0.006330390511966044,-0.004259113405741033
7.03264290978978,12.875002219457073,7.08555177993356,peakerr,absdiff_le,150.0,0.55,264,-0.00627055431051371,0.022688135452188618
7.032700259754915,12.84579879061586,7.085608410444837,day,absdiff_le,50.0,1.0,104,-0.006213204345378642,-0.006515293389025345
7.032873453469746,12.76919071143345,7.085779431448907,peakerr,profile_abs_le,500.0,-0.5,78,-0.006040010630547599,-0.08312337257143376
7.032910518280742,12.850037395361124,7.085816031282792,night,ratio_le,0.05,0.15,198,-0.0060029458195511864,-0.002276688643760849
7.032916435425782,12.861313574070198,7.0858218741973955,midday,absdiff_le,100.0,0.7,132,-0.005997028674511462,0.008999490065313864
7.032943669495033,12.896115872998143,7.085848766615939,peakerr,absdiff_le,150.0,1.0,264,-0.005969794605260148,0.043801788993258484
7.033082146880627,12.851803055923702,7.085985506806244,peakerr,absdiff_le,100.0,0.3,221,-0.005831317219666232,-0.0005110280811830847
7.033150351255833,12.860811375838052,7.086052855559294,day,absdiff_le,100.0,0.55,150,-0.005763112844459961,0.008497291833167608
7.033192043587438,12.84575931132431,7.086094024861655,night,ratio_le,0.02,0.4,126,-0.005721420512855069,-0.006554772680575027
7.03320187822439,12.850295667399703,7.086103736123338,all,reldiff_le,0.005,0.7,282,-0.005711585875903147,-0.002018416605181983
7.0332077533688,12.820767399085426,7.085758558613723,midday,reldiff_le,0.05,-0.1,266,-0.005705710731493063,-0.031546684919458556
7.033227334084828,12.852080125496157,7.086128872640652,all,absdiff_le,100.0,0.15,371,-0.005686130015464919,-0.00023395850872809376
7.033242780145908,12.71983017587163,7.086144124931286,all,profile_abs_le,500.0,-0.25,144,-0.00567068395438497,-0.1324839081332545
7.033278276314812,12.850840231048233,7.086179175801652,night,absdiff_le,100.0,0.4,118,-0.005635187785481222,-0.001473852956651811
7.03334163281739,12.85971854968872,7.086241737498512,night,absdiff_le,300.0,0.2,211,-0.0055718312829036165,0.0074044656838356815
7.03335275259044,12.849012656970316,7.08625271777429,all,ratio_le,0.01,0.55,209,-0.005560711509853711,-0.0033014270345681496
7.033357563053889,12.835753274480282,7.086257467890598,day,profile_abs_le,1000.0,0.05,272,-0.0055559010464039105,-0.01656080952460215
